,PLAYER_NAME,TOTAL_MADE_SHOTS,TOTAL_ATTEMPTED_SHOTS,TOTAL_MISSED_SHOTS,In The Paint (Non-RA) - Center,Above the Break 3 - Center,Restricted Area - Center,Above the Break 3 - Left Side Center,Above the Break 3 - Right Side Center,Mid-Range - Center,In The Paint (Non-RA) - Right Side,Right Corner 3 - Right Side,Mid-Range - Right Side,In The Paint (Non-RA) - Left Side,Left Corner 3 - Left Side,Mid-Range - Left Side,Mid-Range - Right Side Center,Mid-Range - Left Side Center,Backcourt - Back Court,Above the Break 3 - Back Court,Dunk,Hook,Fadeaway,Step Back,Cutting,Turnaround,Floater,Jumpshot,Driving,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height
63,Jabari Walker,234,509,275,94,10,244,34,26,9,2,35,7,2,32,9,1,2,1,1,28,13,12,3,47,21,23,197,113,23.6,3.3,7.1,0.46,0.6,1.9,0.295,2.7,5.1,0.522,0.5,1.8,2.4,0.754,2.1,5,7.1,1,0.6,0.3,0.9,2.4,8.9,206
64,Toumani Camara,197,438,241,55,9,192,43,41,4,2,39,1,6,40,4,0,2,0,0,30,20,2,1,21,10,20,202,81,24.8,2.8,6.3,0.45,0.8,2.5,0.337,2,3.8,0.523,0.516,1.1,1.4,0.758,2,2.9,4.9,1.2,0.9,0.5,1.2,2.5,7.5,203
65,Duop Reath,230,499,269,92,76,150,50,73,2,4,25,3,0,21,2,0,1,0,0,26,37,1,0,32,12,35,289,84,17.9,3.4,7.3,0.461,1.3,3.6,0.359,2.1,3.7,0.559,0.549,1,1.4,0.742,1.4,2.3,3.7,1,0.5,0.6,0.8,2.4,9.1,211
66,Kris Murray,145,366,221,53,13,122,28,50,0,2,50,1,2,41,2,1,0,1,0,22,6,4,9,12,6,18,207,82,21.7,2.3,5.9,0.396,0.8,3,0.268,1.5,3,0.525,0.463,0.6,0.9,0.661,1.4,2.2,3.6,1.3,0.9,0.3,0.9,1.5,6.1,203
67,Scoot Henderson,307,797,490,146,62,226,72,95,24,10,14,38,13,20,25,34,13,4,1,19,1,10,68,4,9,111,536,276,28.5,5,12.9,0.385,1.4,4.3,0.325,3.5,8.5,0.416,0.44,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14,190
68,Anfernee Simons,360,837,477,123,108,163,168,96,25,15,15,20,12,18,27,20,27,0,0,15,13,23,116,4,10,104,626,237,34.4,7.8,18.2,0.43,3.4,8.8,0.385,4.4,9.4,0.472,0.523,3.5,3.9,0.916,0.5,3.2,3.6,5.5,0.5,0.1,2.7,2.1,22.6,190
69,Dalano Banton,202,500,298,97,47,158,68,53,7,5,18,9,7,13,8,4,6,0,0,17,4,10,16,10,7,61,293,153,19.4,3.7,9.3,0.404,1.1,3.7,0.296,2.6,5.6,0.475,0.463,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3,206
70,Bradley Beal,377,735,358,122,41,207,74,46,34,17,40,28,10,34,40,27,15,0,0,25,4,31,68,22,21,52,480,199,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1,3.4,4.4,5,1,0.5,2.5,2.4,18.2,193
71,Kevin Durant,751,1436,685,255,106,217,111,122,96,34,34,135,38,34,124,72,58,0,0,78,1,205,24,23,119,74,1110,180,37.2,10,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5,0.9,1.2,3.3,1.8,27.1,211
72,Grayson Allen,340,682,342,70,52,149,148,110,2,5,50,4,3,85,4,0,0,0,0,21,4,3,9,12,14,47,508,136,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5,193
